Volatility 3 Framework 2.4.1

Certificate path	Certificate section	Certificate ID	Certificate name
Microsoft\SystemCertificates	CA	109F1CAED645BB78B3EA2B94C0697C740733031C	-
Microsoft\SystemCertificates	CA	D559A586669B08F46A30A133F8A9ED3D038E2EA8	-
Microsoft\SystemCertificates	CA	FEE449EE0E3965A5246F000E87FDE2A065FD89D4	-
Microsoft\SystemCertificates	CA	A377D1B1C0538833035211F4083D00FECC414DAB	-
Microsoft\SystemCertificates	Disallowed	27748148BBE67A43CDBFEC6C3784862CE134E6EA	-
Microsoft\SystemCertificates	eSIM Certification Authorities	9E78FB9F9527D859700D303DFA589B3073951DCB	-
Microsoft\SystemCertificates	eSIM Certification Authorities	D73F0C22273FA4C717A3A735F7E992F31190F010	-
Microsoft\SystemCertificates	FlightRoot	6CA22E5501CC80885FF281DD8B3338E89398EE18	Microsoft ECC Development Root Certificate Authority 2018
Microsoft\SystemCertificates	FlightRoot	F8DB7E1C16F1FFD4AAAD4AAD8DFF0F2445184AEB	Microsoft Flighting Root 2014
Microsoft\SystemCertificates	ROOT	06F1AA330B927B753A40E68CDF22E34BCBEF3352	Microsoft ECC Product Root Certificate Authority 2018
Microsoft\SystemCertificates	ROOT	18F7C1FCC3090203FD5BAA2F861A754976C8DD25	VeriSign Time Stamping CA
Microsoft\SystemCertificates	ROOT	22056A4D462E3D2BB2C32FBFB05B84C4659CF7FE	-
Microsoft\SystemCertificates	ROOT	245C97DF7514E7CF2DF8BE72AE957B9E04741E85	Microsoft Timestamp Root
Microsoft\SystemCertificates	ROOT	31F9FC8BA3805986B721EA7295C65B3A44534274	Microsoft ECC TS Root Certificate Authority 2018
Microsoft\SystemCertificates	ROOT	3B1EFD3A66EA28B16697394703A72CA340A05BD5	Microsoft Root Certificate Authority 2010
Microsoft\SystemCertificates	ROOT	5BDEFE580A816661CDB57A57107BF4187486EFCC	-
Microsoft\SystemCertificates	ROOT	7F88CD7223F3C813818C994614A89C99FA3B5247	Microsoft Authenticode(tm) Root
Microsoft\SystemCertificates	ROOT	8F43288AD272F3103B6FB1428485EA3014C0BCFE	Microsoft Root Certificate Authority 2011
Microsoft\SystemCertificates	ROOT	92B46C76E13054E104F230517E6E504D43AB10B5	-
Microsoft\SystemCertificates	ROOT	A43489159A520F0D93D032CCAF37E7FE20A8B419	Microsoft Root Authority
Microsoft\SystemCertificates	ROOT	BE36A4562FB2EE05DBB3D32323ADF445084ED656	Thawte Timestamping CA
Microsoft\SystemCertificates	ROOT	CDD4EEAE6000AC7F40C3802C171E30148030C072	Microsoft Root Certificate Authority
Microsoft\SystemCertificates	TestSignRoot	2BD63D28D7BCD0E251195AEB519243C13142EBC3	-
Microsoft\SystemCertificates	TestSignRoot	8A334AA8052DD244A647306A76B8178FA215F344	-
Microsoft\SystemCertificates	TestSignRoot	A4B37F4F6DE956922273D5CB8E7E0AAFB7033B90	Microsoft ECC Testing Root Certificate Authority 2017
Microsoft\SystemCertificates	TrustedPublisher	22056A4D462E3D2BB2C32FBFB05B84C4659CF7FE	-
Microsoft\SystemCertificates	TrustedPublisher	5BDEFE580A816661CDB57A57107BF4187486EFCC	-
Microsoft\SystemCertificates	TrustedPublisher	67CDCA7703A01B25E6E0426072EC08B0046EB5F8	-
Microsoft\SystemCertificates	TrustedPublisher	EC2AE51775F3252541B266C40528DAA77BAA072F	-
Microsoft\SystemCertificates	Windows Live ID Token Issuer	2C85006A1A028BCC349DF23C474724C055FDE8B6	-
Microsoft\SystemCertificates	Windows Live ID Token Issuer	B68D8F953E551914324E557E6164D68B9926650C	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
Software\Microsoft\SystemCertificates	Root	ProtectedRoots	-
