Volatility 3 Framework 2.4.1

PID	Process	Args
2732	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService
2784	OfficeClickToR	"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe" /service
2896	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s LanmanServer
2928	svchost.exe	C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc
3016	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s WdiServiceHost
3056	svchost.exe	C:\Windows\System32\svchost.exe -k netsvcs
4000	sihost.exe	sihost.exe
4028	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
4068	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
3684	taskhostw.exe	taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
1036	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s TokenBroker
2188	svchost.exe	C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository
4168	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc
4292	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TabletInputService
4336	ctfmon.exe	"ctfmon.exe"
4652	userinit.exe	Required memory at 0x422e23b020 is not valid (process exited?)
4688	explorer.exe	C:\Windows\Explorer.EXE
4848	svchost.exe	C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
5056	SearchIndexer.	C:\Windows\system32\SearchIndexer.exe /Embedding
4284	ShellExperienc	"C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca
5148	SearchUI.exe	upkg
5328	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5364	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
5756	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}
6064	RuntimeBroker.	C:\Windows\System32\RuntimeBroker.exe -Embedding
3680	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
6336	VBoxTray.exe	"C:\Windows\System32\VBoxTray.exe" 
6544	Teams.exe	Required memory at 0x7852d0a020 is not valid (process exited?)
7012	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Appinfo
6300	cmd.exe	cmd.exe C:\Windows\system32\MusNotification.exe LogonUpdateResults
3672	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
6796	svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
916	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
5464	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc
760	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc
4908	SgrmBroker.exe	C:\Windows\system32\SgrmBroker.exe
1092	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s UsoSvc
4176	cmd.exe	cmd.exe C:\Windows\system32\MusNotification.exe
6548	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
2812	svchost.exe	C:\Windows\System32\svchost.exe -k NetworkService -p -s WinRM
6016	svchost.exe	C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
4304	svchost.exe	C:\Windows\system32\svchost.exe -k UnistackSvcGroup
5068	svchost.exe	Required memory at 0x5be1799020 is not valid (process exited?)
2960	WindowsInterna	"C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe" -ServerName:App.AppXagta193n5rpf7mheremt3yyfa1g555vc.mca
5516	SecurityHealth	C:\Windows\system32\SecurityHealthService.exe
4608	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s fdPHost
2424	svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p -s FDResPub
1524	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s Netman
1528	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}
6532	svchost.exe	Process 6532: Required memory at 0xf97fe03b020 is not valid (incomplete layer memory_layer?)
2428	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -s W32Time
3928	ApplicationFra	C:\Windows\system32\ApplicationFrameHost.exe -Embedding
640	MicrosoftEdge.	Required memory at 0x28af2f6020 is not valid (process exited?)
5680	svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc
3528	dllhost.exe	C:\Windows\system32\DllHost.exe /Processid:{3AD05575-8857-4850-9277-11B85BDB8E09}
1548	Procmon.exe	"C:\ProgramData\chocolatey\lib\sysinternals\tools\Procmon.exe" 
6428	Procmon64.exe	"C:\Users\IEUser\AppData\Local\Temp\Procmon64.exe"  /originalpath "C:\ProgramData\chocolatey\lib\sysinternals\tools\Procmon.exe"
7372	tcpview.exe	"C:\ProgramData\chocolatey\lib\sysinternals\tools\tcpview.exe" 
7816	fzpceresm.exe	"C:\Users\IEUser\AppData\Local\Temp\fzpceresm.exe"
4352	svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s LicenseManager
1144	svchost.exe	C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc
7044	chrome.exe	Required memory at 0xa74a5e2020 is not valid (process exited?)
5824	TrustedInstall	C:\Windows\servicing\TrustedInstaller.exe
7188	TiWorker.exe	C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.17763.1934_none_56ae2b0b9948b43a\TiWorker.exe -Embedding
3840	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s DsmSvc
3120	svchost.exe	C:\Windows\System32\svchost.exe -k wsappx -p -s ClipSVC
6684	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv
5200	WmiPrvSE.exe	C:\Windows\system32\wbem\wmiprvse.exe
6820	SearchProtocol	"C:\Windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe7_ Global\UsGthrCtrlFltPipeMssGthrPipe7 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" 
7944	SearchFilterHo	"C:\Windows\system32\SearchFilterHost.exe" 0 772 776 784 8192 780 
6584	svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc
7892	svchost.exe	C:\Windows\system32\svchost.exe -k wsappx -p -s AppXSvc
1868	cmd.exe	"cmd.exe" /s /k pushd "C:\Users\IEUser\Desktop"
5768	conhost.exe	\??\C:\Windows\system32\conhost.exe 0x4
7488	winpmem_mini_x	winpmem_mini_x64_rc2.exe  memory.raw
